"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"1Q23","MIR","Mirion Technologies Inc","Information Technology",-4
"1Q23","VRNS","Varonis Systems Inc","Information Technology",-4
"1Q23","WST","West Pharmaceutical Services Inc","Health Care",-4
"1Q23","CAR","Avis Budget Group Inc","Industrials",-3.9
"1Q23","GLDD","Great Lakes Dredge & Dock Corp","Industrials",-3.9
"1Q23","IBTX","Independent Bank Group Inc","Financials",-3.9
"1Q23","STNE","StoneCo Ltd","Financials",-3.9
"1Q23","WGO","Winnebago Industries Inc","Consumer Discretionary",-3.9
"1Q23","GPC","Genuine Parts Co","Consumer Discretionary",-3.8
"1Q23","IIPR","Innovative Industrial Properties Inc","Real Estate",-3.8
"1Q23","MWA","Mueller Water Products Inc","Industrials",-3.8
"1Q23","SJW","SJW Group","Utilities",-3.8
"1Q23","ALLE","Allegion PLC","Industrials",-3.7
"1Q23","CVCO","Cavco Industries Inc","Consumer Discretionary",-3.7
"1Q23","DAN","Dana Inc","Consumer Discretionary",-3.7
"1Q23","GFI","Gold Fields Ltd","Materials",-3.7
"1Q23","WTS","Watts Water Technologies Inc","Industrials",-3.7
"1Q23","NPO","EnPro Industries Inc","Industrials",-3.6
"1Q23","PEP","PepsiCo Inc","Consumer Staples",-3.6
"1Q23","TS","Tenaris SA","Energy",-3.6
