"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"4Q21","OXM","Oxford Industries Inc","Consumer Discretionary",0.2
"4Q21","OZK","Bank Ozk","Financials",0.2
"4Q21","PATH","UiPath Inc","Information Technology",0.2
"4Q21","PCTI","PCTEL Inc","Information Technology",0.2
"4Q21","PPC","Pilgrims Pride Corp","Consumer Staples",0.2
"4Q21","PSN","Parsons Corp","Industrials",0.2
"4Q21","PTC","PTC Inc","Information Technology",0.2
"4Q21","PZZA","Papa John's International Inc","Consumer Discretionary",0.2
"4Q21","QRHC","Quest Resource Holding Corp","Industrials",0.2
"4Q21","RGR","Sturm Ruger & Company Inc","Consumer Discretionary",0.2
"4Q21","SAFE","Safehold Inc","Real Estate",0.2
"4Q21","SGEN","Seagen Inc","Health Care",0.2
"4Q21","SLP","Simulations Plus Inc","Health Care",0.2
"4Q21","SPCE","Virgin Galactic Holdings Inc","Industrials",0.2
"4Q21","SPTN","SpartanNash Co","Consumer Staples",0.2
"4Q21","SRE","Sempra","Utilities",0.2
"4Q21","SRGA","Surgalign Holdings Inc","Health Care",0.2
"4Q21","STC","Stewart Information Services Corp","Financials",0.2
"4Q21","SWI","SolarWinds Corp","Information Technology",0.2
"4Q21","TRC","Tejon Ranch Co","Real Estate",0.2
"4Q21","TWO","Two Harbors Investment Corp","Financials",0.2
"4Q21","U","Unity Software Inc","Information Technology",0.2
"4Q21","UCTT","Ultra Clean Holdings Inc","Information Technology",0.2
"4Q21","VFC","VF Corp","Consumer Discretionary",0.2
"4Q21","VLGEA","Village Super Market Inc","Consumer Staples",0.2
"4Q21","VRTV","Veritiv Corp","Industrials",0.2
"4Q21","WD","Walker & Dunlop Inc","Financials",0.2
"4Q21","WFG","West Fraser Timber Co Ltd","Materials",0.2
"4Q21","WLDN","Willdan Group Inc","Industrials",0.2
"4Q21","ZION","Zions Bancorporation NA","Financials",0.2
"4Q21","ACB","Aurora Cannabis Inc","Health Care",0.1
"4Q21","AEP","American Electric Power Company Inc","Utilities",0.1
"4Q21","AFL","Aflac Inc","Financials",0.1
"4Q21","AGEN","Agenus Inc","Health Care",0.1
"4Q21","AIN","Albany International Corp","Industrials",0.1
"4Q21","AMED","Amedisys Inc","Health Care",0.1
"4Q21","AROC","Archrock Inc","Energy",0.1
"4Q21","ASB","Associated Banc-Corp","Financials",0.1
"4Q21","ATR","Aptargroup Inc","Materials",0.1
"4Q21","BCBP","BCB Bancorp Inc","Financials",0.1
"4Q21","BGCP","BGC Partners Inc","Financials",0.1
"4Q21","BHG","Bright Health Group Inc","Financials",0.1
"4Q21","BJ","BJ's Wholesale Club Holdings Inc","Consumer Staples",0.1
"4Q21","BKE","Buckle Inc","Consumer Discretionary",0.1
"4Q21","BMO","Bank of Montreal","Financials",0.1
"4Q21","BORR","Borr Drilling Ltd","Energy",0.1
"4Q21","CERS","Cerus Corp","Health Care",0.1
"4Q21","CIR","Circor International Inc","Industrials",0.1
